Serena                        00002CMN$$ASM00001CMN$$SYC                 00001000018NNN
Serena                        00002CMN$$AST00001CMN$$JCD                 00001000001NNN
Serena                        00002CMN$$AST00001CMN$$SPR                 00001000026NNN
Serena                        00002CMN$$AUD00001CMN$$SPR                 00001000008NNN
Serena                        00002CMN$$AUD00001CMN$$SPR                 00001000073NNN
Serena                        00002CMN$$BBL00001CMN$$CBL                 00001000007NNN
Serena                        00002CMN$$BBL00001CMN$$PBL                 00001000010NNN
Serena                        00002CMN$$BLA00001CMN$$JCD                 00001000001NNN
Serena                        00002CMN$$BLA00001CMN$$SPR                 00001000008NNN
Serena                        00002CMN$$BLG00001CMN$$JCD                 00001000001NNN
Serena                        00002CMN$$BRC00001CMN$$JCD                 00001000001NNN
Serena                        00002CMN$$BRC00001CMN$$SPR                 00001000005NNN
Serena                        00002CMN$$BRT00001CMN$$JCD                 00001000001NNN
Serena                        00002CMN$$BRT00001CMN$$SPR                 00001000005NNN
Serena                        00002CMN$$BSN00001CMN$$SPR                 00001000007NNN
Serena                        00002CMN$$CAS00001CMN$$ENQ                 00001000011NNN
Serena                        00002CMN$$CBL00001CMN$$SPR                 00001000094NNN
Serena                        00002CMN$$CBL00001CMN$$SPR                 00001000213NNN
Serena                        00002CMN$$CBL00001CMN$$SPR                 00001000359NNN
Serena                        00002CMN$$CBL00001CMN$$SPR                 00001000432NNN
Serena                        00002CMN$$CBL00001CMN$$SPR                 00001000567NNN
Serena                        00002CMN$$CEE00001CMN$$SYC                 00001000026NNN
Serena                        00002CMN$$CKO00001CMN$$SSV                 00001000005NNN
Serena                        00002CMN$$CKO00001CMN$$CKA                 00001000006NNN
Serena                        00002CMN$$CKO00001CMN$$PAN                 00001000068NNN
Serena                        00002CMN$$CKO00001CMN$$LB2                 00001000071NNN
Serena                        00002CMN$$CKO00001CMN$$LIB                 00001000080NNN
Serena                        00002CMN$$CKO00001CMN$$PAN                 00001000133NNN
Serena                        00002CMN$$CKO00001CMN$$LB2                 00001000136NNN
Serena                        00002CMN$$CKO00001CMN$$PAN                 00001000244NNN
Serena                        00002CMN$$CKO00001CMN$$LB2                 00001000247NNN
Serena                        00002CMN$$CKO00001CMN$$LB2                 00001000281NNN
Serena                        00002CMN$$CKO00001CMN$$PAN                 00001000331NNN
Serena                        00002CMN$$CKO00001CMN$$LB2                 00001000334NNN
Serena                        00002CMN$$CKO00001CMN00                    00001000360NNN
Serena                        00002CMN$$CKO00001CMN99                    00001000375NNN
Serena                        00002CMN$$CKO00001CMN$$PCP                 00001000377NNN
Serena                        00002CMN$$CO200001CMNAPCOB                 00001000014NNN
Serena                        00002CMN$$CO200001CMN$$SYC                 00001000020NNN
Serena                        00002CMN$$CO200001CMNAPMSG                 -0001000051NNN
Serena                        00002CMN$$COB00001CMN$$SYC                 00001000017NNN
Serena                        00002CMN$$F1000001CMN$$FTP                 00001000007NNN
Serena                        00002CMN$$F1000001CMN$$FTP                 00001000023NNN
Serena                        00002CMN$$F1000001CMN$$FTP                 00001000044NNN
Serena                        00002CMN$$F1000001CMN$$FTP                 00001000066NNN
Serena                        00002CMN$$F1100001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F1500001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F1900001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F2500001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F2900001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F3500001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F3900001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F5400001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F5400001CMN$$FTP                 00001000014NNN
Serena                        00002CMN$$F5900001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$F6500001CMN$$FTP                 00001000005NNN
Serena                        00002CMN$$HKP00001CMN$$JCD                 00001000001NNN
Serena                        00002CMN$$HKP00001CMN$$SPR                 00001000047NNN
Serena                        00002CMN$$IGN00001CMNJSPRM                 00001000010NNN
Serena                        00002CMN$$IGN00001CMNJSPRM                 00001000034NNN
Serena                        00002CMN$$IGN00001CMNPDPGN                 00001000038NNN
Serena                        00002CMN$$IGN00001CMNPDPGN                 00001000042NNN
Serena                        00002CMN$$IGN00001CMNMFSPG                 00001000050NNN
Serena                        00002CMN$$IMS00001CMN$$SPR                 00001000010NNN
Serena                        00002CMN$$LB200001CMN$$SPR                 00001000008NNN
Serena                        00002CMN$$LDT00001CMN$$JCD                 00001000001NNN
